Size of blocks: 107; Amount of blocks: 900; Duration for sequential: 345; Duration for thread: 95; Speed up: 3.63158
Size of blocks: 108; Amount of blocks: 900; Duration for sequential: 328; Duration for thread: 90; Speed up: 3.64444
Size of blocks: 109; Amount of blocks: 900; Duration for sequential: 339; Duration for thread: 88; Speed up: 3.85227
Size of blocks: 110; Amount of blocks: 900; Duration for sequential: 333; Duration for thread: 77; Speed up: 4.32468
Size of blocks: 111; Amount of blocks: 900; Duration for sequential: 339; Duration for thread: 79; Speed up: 4.29114
Size of blocks: 112; Amount of blocks: 900; Duration for sequential: 332; Duration for thread: 89; Speed up: 3.73034
Size of blocks: 113; Amount of blocks: 900; Duration for sequential: 334; Duration for thread: 94; Speed up: 3.55319
Size of blocks: 114; Amount of blocks: 900; Duration for sequential: 339; Duration for thread: 84; Speed up: 4.03571
Size of blocks: 115; Amount of blocks: 900; Duration for sequential: 334; Duration for thread: 89; Speed up: 3.75281
Size of blocks: 116; Amount of blocks: 900; Duration for sequential: 343; Duration for thread: 87; Speed up: 3.94253
Size of blocks: 117; Amount of blocks: 900; Duration for sequential: 332; Duration for thread: 100; Speed up: 3.32
Size of blocks: 118; Amount of blocks: 900; Duration for sequential: 339; Duration for thread: 90; Speed up: 3.76667
Size of blocks: 119; Amount of blocks: 900; Duration for sequential: 336; Duration for thread: 91; Speed up: 3.69231
Size of blocks: 120; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 92; Speed up: 3.66304
Size of blocks: 121; Amount of blocks: 900; Duration for sequential: 356; Duration for thread: 97; Speed up: 3.6701
Size of blocks: 122; Amount of blocks: 900; Duration for sequential: 329; Duration for thread: 94; Speed up: 3.5
Size of blocks: 123; Amount of blocks: 900; Duration for sequential: 333; Duration for thread: 89; Speed up: 3.74157
Size of blocks: 124; Amount of blocks: 900; Duration for sequential: 341; Duration for thread: 92; Speed up: 3.70652
Size of blocks: 125; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 94; Speed up: 3.58511
Size of blocks: 126; Amount of blocks: 900; Duration for sequential: 341; Duration for thread: 94; Speed up: 3.62766
Size of blocks: 127; Amount of blocks: 900; Duration for sequential: 328; Duration for thread: 95; Speed up: 3.45263
Size of blocks: 128; Amount of blocks: 900; Duration for sequential: 328; Duration for thread: 105; Speed up: 3.12381
Size of blocks: 129; Amount of blocks: 900; Duration for sequential: 327; Duration for thread: 95; Speed up: 3.44211
Size of blocks: 130; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 98; Speed up: 3.43878
Size of blocks: 131; Amount of blocks: 900; Duration for sequential: 334; Duration for thread: 93; Speed up: 3.5914
Size of blocks: 132; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 91; Speed up: 3.7033
Size of blocks: 133; Amount of blocks: 900; Duration for sequential: 338; Duration for thread: 101; Speed up: 3.34653
Size of blocks: 134; Amount of blocks: 900; Duration for sequential: 345; Duration for thread: 104; Speed up: 3.31731
Size of blocks: 135; Amount of blocks: 900; Duration for sequential: 335; Duration for thread: 108; Speed up: 3.10185
Size of blocks: 136; Amount of blocks: 900; Duration for sequential: 327; Duration for thread: 106; Speed up: 3.08491
Size of blocks: 137; Amount of blocks: 900; Duration for sequential: 333; Duration for thread: 103; Speed up: 3.23301
Size of blocks: 138; Amount of blocks: 900; Duration for sequential: 332; Duration for thread: 107; Speed up: 3.1028
Size of blocks: 139; Amount of blocks: 900; Duration for sequential: 330; Duration for thread: 104; Speed up: 3.17308
Size of blocks: 140; Amount of blocks: 900; Duration for sequential: 340; Duration for thread: 115; Speed up: 2.95652
Size of blocks: 141; Amount of blocks: 900; Duration for sequential: 337; Duration for thread: 106; Speed up: 3.17925
Size of blocks: 142; Amount of blocks: 900; Duration for sequential: 338; Duration for thread: 102; Speed up: 3.31373
Size of blocks: 143; Amount of blocks: 900; Duration for sequential: 334; Duration for thread: 110; Speed up: 3.03636
Size of blocks: 144; Amount of blocks: 900; Duration for sequential: 329; Duration for thread: 109; Speed up: 3.01835
Size of blocks: 145; Amount of blocks: 900; Duration for sequential: 330; Duration for thread: 109; Speed up: 3.02752
